PIAAC_QuestionId;PIAAC_QuestionDescription;ESCOskill
G_Q05f;use a word processor for example Word?;Zoho Writer
G_Q05f;use a word processor for example Word?;able to use using word processing software
G_Q05f;use a word processor for example Word?;apply word processing software
G_Q05f;use a word processor for example Word?;direct callers
G_Q05f;use a word processor for example Word?;make use of word processing software
G_Q05f;use a word processor for example Word?;produce text files
G_Q05f;use a word processor for example Word?;redirect caller
G_Q05f;use a word processor for example Word?;type text
G_Q05f;use a word processor for example Word?;use document processing program
G_Q05f;use a word processor for example Word?;use office systems
G_Q05f;use a word processor for example Word?;use text processing program
G_Q05f;use a word processor for example Word?;use word processing
G_Q05f;use a word processor for example Word?;use word processing software
G_Q05f;use a word processor for example Word?;use word processor
G_Q05f;use a word processor for example Word?;using word processor
G_Q05f;use a word processor for example Word?;utilise word processing software
G_Q05f;use a word processor for example Word?;utilize office systems
G_Q05f;use a word processor for example Word?;work with office systems
G_Q05g;use a programming language to program or write computer code?;ICT
G_Q05g;use a programming language to program or write computer code?;IT
G_Q05g;use a programming language to program or write computer code?;computer programming
G_Q05g;use a programming language to program or write computer code?;computer technology
G_Q05g;use a programming language to program or write computer code?;data retrieving using a query language
G_Q05g;use a programming language to program or write computer code?;data retrieving using a structured query language
G_Q05g;use a programming language to program or write computer code?;information and communications technology
G_Q05g;use a programming language to program or write computer code?;information technology
G_Q05g;use a programming language to program or write computer code?;markup programming
G_Q05g;use a programming language to program or write computer code?;query language using
G_Q05g;use a programming language to program or write computer code?;retrieve data using a query language
G_Q05g;use a programming language to program or write computer code?;retrieve data using a structured query language
G_Q05g;use a programming language to program or write computer code?;retrieving data using a query language
G_Q05g;use a programming language to program or write computer code?;retrieving data using a structured query language
G_Q05g;use a programming language to program or write computer code?;technology in computer networks
G_Q05g;use a programming language to program or write computer code?;technology in computers
G_Q05g;use a programming language to program or write computer code?;technology in computing
G_Q05g;use a programming language to program or write computer code?;technology of computers
G_Q05g;use a programming language to program or write computer code?;uml
G_Q05g;use a programming language to program or write computer code?;unified modelling language
G_Q05g;use a programming language to program or write computer code?;use HTML
G_Q05g;use a programming language to program or write computer code?;use XHTML
G_Q05g;use a programming language to program or write computer code?;use database query language
G_Q05g;use a programming language to program or write computer code?;use information retrieval query language
G_Q05g;use a programming language to program or write computer code?;use mark-up languages
G_Q05g;use a programming language to program or write computer code?;use markup languages
G_Q05g;use a programming language to program or write computer code?;use query languages
G_Q05g;use a programming language to program or write computer code?;use scripting programming
G_Q05g;use a programming language to program or write computer code?;use structured query language
G_Q05g;use a programming language to program or write computer code?;using database query language
G_Q05g;use a programming language to program or write computer code?;using information retrieval query language
G_Q05g;use a programming language to program or write computer code?;using query language
G_Q05g;use a programming language to program or write computer code?;using structured query language
G_Q05g;use a programming language to program or write computer code?;web programming
G_Q05g;use a programming language to program or write computer code?;
I_Q04d;I like learning new things;able to use learning strategies
I_Q04d;I like learning new things;apply learning strategies
I_Q04d;I like learning new things;apply new knowledge
I_Q04d;I like learning new things;learning technologies
I_Q04d;I like learning new things;make use of learning strategies
I_Q04d;I like learning new things;monitor learning process
I_Q04d;I like learning new things;plan learning
I_Q04d;I like learning new things;prioritise learning tasks
I_Q04d;I like learning new things;reflect on learning process
I_Q04d;I like learning new things;use different learning styles
I_Q04d;I like learning new things;use learning strategies
I_Q04d;I like learning new things;using learning strategies
I_Q04d;I like learning new things;utilise learning strategies
I_Q04d;I like learning new things;
I_Q04l;I like to figure out how different ideas fit together;anticipate needs
I_Q04l;I like to figure out how different ideas fit together;brainstorming
I_Q04l;I like to figure out how different ideas fit together;create creative ideas
I_Q04l;I like to figure out how different ideas fit together;creative thinking
I_Q04l;I like to figure out how different ideas fit together;design
I_Q04l;I like to figure out how different ideas fit together;develop creative ideas
I_Q04l;I like to figure out how different ideas fit together;developing creative ideas
I_Q04l;I like to figure out how different ideas fit together;experiment
I_Q04l;I like to figure out how different ideas fit together;find new ideas
I_Q04l;I like to figure out how different ideas fit together;generate creative ideas
I_Q04l;I like to figure out how different ideas fit together;innovate
I_Q04l;I like to figure out how different ideas fit together;innovative thinking
I_Q04l;I like to figure out how different ideas fit together;proactive thinking
I_Q04l;I like to figure out how different ideas fit together;proactive thought
I_Q04l;I like to figure out how different ideas fit together;produce creative ideas
I_Q04l;I like to figure out how different ideas fit together;seek out questions
I_Q04l;I like to figure out how different ideas fit together;show originality
I_Q04l;I like to figure out how different ideas fit together;think actively
I_Q04l;I like to figure out how different ideas fit together;think ahead
I_Q04l;I like to figure out how different ideas fit together;think creatively
I_Q04l;I like to figure out how different ideas fit together;think in a creative way
I_Q04l;I like to figure out how different ideas fit together;think laterally
I_Q04l;I like to figure out how different ideas fit together;think positively
I_Q04l;I like to figure out how different ideas fit together;think proactively
I_Q04l;I like to figure out how different ideas fit together;thinking creatively
I_Q04l;I like to figure out how different ideas fit together;thinking proactively
I_Q04l;I like to figure out how different ideas fit together;use imagination
I_Q04l;I like to figure out how different ideas fit together;visualise completed project
I_Q04l;I like to figure out how different ideas fit together;visualise completed work
